,162WL%,AGE,BB/9,BK,BR/9,CG,ER,ERA,G,GF,GS,H,H/9,HB,HR,HR/9,IBB,IP,L,LABEL,NAME,PID,R,RAA,RAR,SO,SO/9,SO/BB,SV,ShO,TBB,W,WAA,WAAadj,WAR,WLP,WP,waaWL%
0,0,0,0,1.0,0,0.0,144.0,4.23,298.0,132.0,0.0,271.0,0,15.0,35.0,0,19.0,306.1,17.0,0,,,152.0,0,0,305.0,0,0,69.0,69.0,169.0,15.0,0,0,0.23749999999999996,0,11.0,0
0,0,0,0,3.0,0,22.0,468.0,3.8,448.0,235.0,91.0,1085.0,0,7.0,89.0,0,45.0,1109.1,60.0,0,,,503.0,0,0,641.0,0,0,82.0,82.0,457.0,66.0,0,0,1.1615384615384614,0,22.0,0
0,0,0,0,0.0,0,0.0,75.0,3.64,203.0,51.0,6.0,182.0,0,9.0,22.0,0,4.0,185.2,19.0,0,,,79.0,0,0,151.0,0,0,0.0,0.0,60.0,3.0,0,0,0.2333333333333333,0,4.0,0
0,0,0,0,0.0,0,52.0,285.0,4.52,79.0,14.0,65.0,686.0,0,26.0,18.0,0,,568.0,40.0,0,,,442.0,0,0,161.0,0,0,1.0,1.0,192.0,22.0,0,0,0.22000000000000003,0,18.0,0
0,0,0,0,5.0,0,37.0,627.0,4.39,248.0,13.0,206.0,1405.0,0,32.0,162.0,0,28.0,1286.0,83.0,0,,,707.0,0,0,484.0,0,0,0.0,0.0,352.0,62.0,0,0,0.39999999999999997,0,18.0,0
0,0,0,0,11.0,0,31.0,791.0,4.25,263.0,5.0,254.0,1779.0,0,32.0,154.0,0,30.0,1674.0,108.0,0,,,880.0,0,0,888.0,0,0,0.0,0.0,620.0,87.0,0,0,1.7999999999999996,0,53.0,0
0,0,0,0,3.0,0,0.0,107.0,5.2,57.0,4.0,22.0,207.0,0,2.0,26.0,0,0.0,185.1,17.0,0,,,112.0,0,0,124.0,0,0,0.0,0.0,79.0,4.0,0,0,-0.325,0,13.0,0
0,0,0,0,0.0,0,1.0,394.0,4.92,162.0,17.0,112.0,682.0,0,21.0,101.0,0,17.0,720.2,37.0,0,,,421.0,0,0,496.0,0,0,0.0,0.0,393.0,43.0,0,0,0.45454545454545453,0,37.0,0
0,0,0,0,0.0,0,7.0,181.0,4.19,168.0,76.0,30.0,398.0,0,6.0,29.0,0,,389.1,25.0,0,,,205.0,0,0,169.0,0,0,14.0,14.0,160.0,24.0,0,0,0.25,0,8.0,0
0,0,0,0,0.0,0,0.0,3.0,13.5,1.0,1.0,0.0,4.0,0,0.0,1.0,0,,2.0,0.0,0,,,3.0,0,0,0.0,0,0,1.0,1.0,1.0,0.0,0,0,-0.1,0,0.0,0
0,0,0,0,0.0,0,1.0,25.0,11.19,7.0,3.0,2.0,31.0,0,0.0,0.0,0,,20.1,3.0,0,,,26.0,0,0,13.0,0,0,0.0,0.0,17.0,0.0,0,0,-0.39999999999999997,0,1.0,0
0,0,0,0,3.0,0,7.0,441.0,3.46,681.0,416.0,34.0,1010.0,0,45.0,70.0,0,80.0,1148.1,69.0,0,,,513.0,0,0,765.0,0,0,149.0,149.0,592.0,63.0,0,0,1.1357142857142857,0,35.0,0
0,0,0,0,0.0,0,0.0,17.0,3.64,16.0,6.0,1.0,36.0,0,0.0,6.0,0,,42.0,1.0,0,,,19.0,0,0,6.0,0,0,1.0,1.0,11.0,1.0,0,0,0.19999999999999998,0,0.0,0
0,0,0,0,1.0,0,4.0,32.0,4.05,14.0,6.0,8.0,79.0,0,1.0,2.0,0,,71.1,5.0,0,,,51.0,0,0,41.0,0,0,0.0,0.0,30.0,1.0,0,0,-0.39999999999999997,0,5.0,0
0,0,0,0,0.0,0,0.0,5.0,10.71,3.0,1.0,0.0,10.0,0,1.0,0.0,0,,4.2,0.0,0,,,5.0,0,0,1.0,0,0,0.0,0.0,3.0,0.0,0,0,-0.2,0,0.0,0
0,0,0,0,0.0,0,0.0,17.0,6.38,6.0,0.0,5.0,32.0,0,0.0,3.0,0,1.0,24.0,1.0,0,,,18.0,0,0,13.0,0,0,0.0,0.0,12.0,1.0,0,0,-0.4,0,0.0,0
0,0,0,0,0.0,0,0.0,2.0,2.9,7.0,2.0,0.0,6.0,0,5.0,1.0,0,0.0,6.2,0.0,0,,,2.0,0,0,12.0,0,0,0.0,0.0,3.0,0.0,0,0,0.1,0,0.0,0
0,0,0,0,1.0,0,0.0,36.0,7.35,38.0,6.0,0.0,57.0,0,2.0,10.0,0,2.0,44.1,1.0,0,,,39.0,0,0,38.0,0,0,0.0,0.0,19.0,0.0,0,0,-0.23333333333333336,0,2.0,0
0,0,0,0,2.0,0,0.0,136.0,4.31,262.0,115.0,0.0,288.0,0,9.0,24.0,0,16.0,284.2,20.0,0,,,143.0,0,0,205.0,0,0,38.0,38.0,111.0,10.0,0,0,0.26250000000000007,0,10.0,0
0,0,0,0,2.0,0,1.0,235.0,5.75,104.0,11.0,59.0,420.0,0,12.0,71.0,0,14.0,368.1,25.0,0,,,246.0,0,0,253.0,0,0,1.0,1.0,113.0,18.0,0,0,-0.36,0,9.0,0
0,0,0,0,4.0,0,0.0,274.0,4.33,367.0,165.0,34.0,597.0,0,28.0,72.0,0,34.0,570.0,40.0,0,,,316.0,0,0,350.0,0,0,53.0,53.0,226.0,28.0,0,0,0.425,0,20.0,0
0,0,0,0,6.0,0,0.0,162.0,3.84,204.0,91.0,15.0,333.0,0,28.0,48.0,0,6.0,380.1,16.0,0,,,172.0,0,0,282.0,0,0,29.0,29.0,129.0,31.0,0,0,0.6285714285714287,0,5.0,0
0,0,0,0,0.0,0,0.0,4.0,3.27,7.0,1.0,0.0,14.0,0,0.0,2.0,0,0.0,11.0,0.0,0,,,7.0,0,0,5.0,0,0,0.0,0.0,3.0,1.0,0,0,-0.1,0,0.0,0
0,0,0,0,2.0,0,0.0,399.0,3.97,467.0,159.0,32.0,918.0,0,32.0,82.0,0,40.0,904.1,49.0,0,,,447.0,0,0,482.0,0,0,30.0,30.0,329.0,33.0,0,0,0.37000000000000005,0,31.0,0
0,0,0,0,0.0,0,5.0,174.0,4.12,153.0,35.0,23.0,365.0,0,17.0,43.0,0,20.0,380.1,13.0,0,,,181.0,0,0,256.0,0,0,8.0,8.0,150.0,19.0,0,0,1.1749999999999998,0,6.0,0
0,0,0,0,0.0,0,0.0,9.0,4.24,5.0,1.0,4.0,17.0,0,0.0,4.0,0,0.0,19.1,0.0,0,,,10.0,0,0,17.0,0,0,0.0,0.0,11.0,1.0,0,0,0.0,0,1.0,0
0,0,0,0,1.0,0,0.0,55.0,2.66,107.0,74.0,0.0,143.0,0,12.0,15.0,0,8.0,186.0,9.0,0,,,65.0,0,0,109.0,0,0,27.0,27.0,77.0,13.0,0,0,1.4249999999999998,0,4.0,0
0,0,0,0,2.0,0,3.0,62.0,4.07,57.0,22.0,8.0,153.0,0,4.0,12.0,0,8.0,137.2,9.0,0,,,71.0,0,0,70.0,0,0,1.0,1.0,39.0,6.0,0,0,0.06666666666666667,0,6.0,0
0,0,0,0,0.0,0,6.0,107.0,4.52,55.0,28.0,13.0,265.0,0,0.0,9.0,0,,213.1,10.0,0,,,119.0,0,0,45.0,0,0,4.0,4.0,68.0,10.0,0,0,0.7333333333333334,0,4.0,0
0,0,0,0,0.0,0,0.0,110.0,3.99,233.0,78.0,0.0,234.0,0,8.0,30.0,0,10.0,248.0,13.0,0,,,122.0,0,0,219.0,0,0,9.0,9.0,117.0,13.0,0,0,0.15000000000000002,0,14.0,0
0,0,0,0,1.0,0,0.0,73.0,5.17,114.0,32.0,0.0,135.0,0,5.0,16.0,0,9.0,127.0,6.0,0,,,75.0,0,0,98.0,0,0,2.0,2.0,68.0,9.0,0,0,0.1,0,3.0,0
0,0,0,0,0.0,0,2.0,213.0,3.47,302.0,217.0,7.0,541.0,0,8.0,26.0,0,,552.2,33.0,0,,,247.0,0,0,171.0,0,0,49.0,49.0,224.0,41.0,0,0,1.1833333333333333,0,15.0,0
0,0,0,0,0.0,0,0.0,8.0,6.43,8.0,2.0,0.0,11.0,0,0.0,2.0,0,0.0,11.2,0.0,0,,,8.0,0,0,5.0,0,0,0.0,0.0,3.0,0.0,0,0,-0.05,0,0.0,0
0,0,0,0,2.0,0,205.0,917.0,2.76,482.0,90.0,354.0,2841.0,0,47.0,67.0,0,,2995.1,140.0,1,,,1133.0,0,0,1036.0,0,0,16.0,16.0,430.0,194.0,0,0,2.615789473684211,0,26.0,0
0,0,0,0,0.0,0,0.0,7.0,5.25,5.0,3.0,1.0,21.0,0,0.0,0.0,0,,12.0,1.0,0,,,11.0,0,0,5.0,0,0,0.0,0.0,3.0,0.0,0,0,0.05000000000000002,0,0.0,0
0,0,0,0,0.0,0,6.0,71.0,3.74,47.0,24.0,16.0,182.0,0,8.0,5.0,0,,171.0,11.0,0,,,87.0,0,0,54.0,0,0,3.0,3.0,65.0,4.0,0,0,-0.4,0,8.0,0
0,0,0,0,0.0,0,3.0,64.0,5.01,30.0,14.0,12.0,119.0,0,2.0,6.0,0,,115.0,9.0,0,,,72.0,0,0,62.0,0,0,0.0,0.0,48.0,1.0,0,0,-0.8,0,4.0,0
0,0,0,0,0.0,0,0.0,109.0,2.41,408.0,60.0,0.0,316.0,0,6.0,33.0,0,12.0,407.1,20.0,0,,,122.0,0,0,409.0,0,0,4.0,4.0,126.0,21.0,0,0,0.8799999999999999,0,7.0,0
0,0,0,0,0.0,0,0.0,11.0,8.25,8.0,4.0,0.0,18.0,0,0.0,1.0,0,,12.0,1.0,0,,,12.0,0,0,8.0,0,0,0.0,0.0,7.0,0.0,0,0,-0.6,0,0.0,0
0,0,0,0,0.0,0,3.0,25.0,3.62,11.0,5.0,6.0,63.0,0,8.0,1.0,0,,62.2,5.0,0,,,30.0,0,0,25.0,0,0,0.0,0.0,24.0,2.0,0,0,0.1,0,0.0,0
0,0,0,0,6.0,0,0.0,403.0,4.17,574.0,201.0,41.0,890.0,0,17.0,63.0,0,33.0,869.1,62.0,0,,,448.0,0,0,691.0,0,0,42.0,42.0,380.0,51.0,0,0,0.4090909090909091,0,54.0,0
0,0,0,0,0.0,0,8.0,138.0,4.37,65.0,30.0,21.0,303.0,0,19.0,8.0,0,,284.1,16.0,0,,,172.0,0,0,74.0,0,0,2.0,2.0,144.0,8.0,0,0,-0.48,0,8.0,0
0,0,0,0,0.0,0,1.0,87.0,5.83,25.0,0.0,24.0,149.0,0,9.0,20.0,0,5.0,134.2,9.0,0,,,92.0,0,0,105.0,0,0,0.0,0.0,55.0,6.0,0,0,0.45,0,4.0,0
0,0,0,0,1.0,0,0.0,60.0,4.9,44.0,4.0,11.0,121.0,0,9.0,19.0,0,0.0,110.1,6.0,0,,,66.0,0,0,77.0,0,0,0.0,0.0,37.0,5.0,0,0,0.0666666666666667,0,0.0,0
0,0,0,0,1.0,0,0.0,21.0,7.53,11.0,2.0,4.0,28.0,0,0.0,3.0,0,2.0,25.1,4.0,0,,,22.0,0,0,14.0,0,0,0.0,0.0,22.0,0.0,0,0,-0.3333333333333333,0,2.0,0
0,0,0,0,1.0,0,0.0,45.0,3.86,43.0,10.0,5.0,111.0,0,6.0,11.0,0,5.0,105.0,4.0,0,,,52.0,0,0,67.0,0,0,1.0,1.0,44.0,1.0,0,0,0.2333333333333333,0,5.0,0
0,0,0,0,0.0,0,0.0,12.0,6.0,4.0,0.0,4.0,25.0,0,0.0,0.0,0,0.0,18.0,0.0,0,,,12.0,0,0,9.0,0,0,0.0,0.0,16.0,1.0,0,0,0.0,0,3.0,0
0,0,0,0,0.0,0,1.0,62.0,5.64,38.0,19.0,6.0,114.0,0,0.0,11.0,0,,99.0,4.0,0,,,69.0,0,0,47.0,0,0,0.0,0.0,50.0,2.0,0,0,-0.13333333333333333,0,3.0,0
0,0,0,0,0.0,0,1.0,15.0,5.0,6.0,3.0,3.0,40.0,0,1.0,2.0,0,,27.0,1.0,0,,,28.0,0,0,3.0,0,0,1.0,1.0,12.0,1.0,0,0,-0.44999999999999996,0,0.0,0
0,0,0,0,0.0,0,19.0,175.0,4.34,67.0,18.0,42.0,403.0,0,7.0,24.0,0,,363.0,27.0,0,,,211.0,0,0,78.0,0,0,1.0,1.0,156.0,12.0,0,0,1.2000000000000002,0,4.0,0
0,0,0,0,0.0,0,0.0,70.0,4.56,119.0,40.0,0.0,155.0,0,5.0,18.0,0,10.0,138.2,5.0,0,,,75.0,0,0,81.0,0,0,0.0,0.0,54.0,5.0,0,0,0.08333333333333333,0,1.0,0
0,0,0,0,0.0,0,0.0,17.0,6.38,5.0,0.0,5.0,19.0,0,0.0,4.0,0,0.0,24.0,2.0,0,,,18.0,0,0,14.0,0,0,0.0,0.0,29.0,1.0,0,0,-0.3,0,2.0,0
0,0,0,0,9.0,0,0.0,386.0,3.88,730.0,156.0,42.0,865.0,0,40.0,70.0,0,40.0,896.2,45.0,0,,,432.0,0,0,701.0,0,0,28.0,28.0,385.0,41.0,0,0,0.85,0,54.0,0
0,0,0,0,7.0,0,0.0,279.0,4.01,543.0,198.0,2.0,639.0,0,30.0,30.0,0,47.0,626.1,33.0,0,,,313.0,0,0,307.0,0,0,29.0,29.0,248.0,40.0,0,0,0.18461538461538465,0,21.0,0
0,0,0,0,10.0,0,10.0,512.0,3.57,732.0,557.0,89.0,1233.0,0,36.0,138.0,0,42.0,1291.1,81.0,0,,,568.0,0,0,1030.0,0,0,318.0,318.0,351.0,86.0,0,0,1.0500000000000003,0,53.0,0
0,0,0,0,9.0,0,44.0,496.0,3.25,447.0,124.0,149.0,1216.0,0,47.0,123.0,0,35.0,1375.1,72.0,0,,,562.0,0,0,856.0,0,0,33.0,33.0,479.0,75.0,0,0,1.3125000000000002,0,35.0,0
0,0,0,0,0.0,0,0.0,13.0,11.7,4.0,0.0,3.0,20.0,0,0.0,2.0,0,1.0,10.0,2.0,0,,,13.0,0,0,4.0,0,0,0.0,0.0,5.0,0.0,0,0,-0.4,0,1.0,0
0,0,0,0,0.0,0,0.0,73.0,5.21,29.0,4.0,22.0,136.0,0,8.0,16.0,0,0.0,126.2,8.0,0,,,78.0,0,0,90.0,0,0,0.0,0.0,61.0,6.0,0,0,-0.024999999999999994,0,7.0,0
0,0,0,0,0.0,0,10.0,69.0,3.01,34.0,8.0,22.0,193.0,0,5.0,7.0,0,,206.1,12.0,0,,,98.0,0,0,101.0,0,0,0.0,0.0,67.0,12.0,0,0,0.3333333333333333,0,9.0,0
0,0,0,0,0.0,0,0.0,272.0,3.28,495.0,321.0,0.0,679.0,0,40.0,63.0,0,68.0,746.0,45.0,0,,,312.0,0,0,404.0,0,0,124.0,124.0,274.0,47.0,0,0,0.7545454545454544,0,13.0,0
0,0,0,0,1.0,0,1.0,132.0,5.09,125.0,33.0,13.0,216.0,0,13.0,36.0,0,16.0,233.2,10.0,0,,,146.0,0,0,129.0,0,0,3.0,3.0,127.0,9.0,0,0,-0.25999999999999995,0,21.0,0
0,0,0,0,0.0,0,0.0,11.0,4.93,5.0,3.0,1.0,24.0,0,2.0,1.0,0,,20.1,1.0,0,,,17.0,0,0,11.0,0,0,0.0,0.0,15.0,1.0,0,0,-0.5,0,0.0,0
0,0,0,0,0.0,0,0.0,1.0,2.9,3.0,1.0,0.0,1.0,0,0.0,0.0,0,0.0,3.1,0.0,0,,,2.0,0,0,3.0,0,0,0.0,0.0,2.0,0.0,0,0,0.0,0,0.0,0
0,0,0,0,1.0,0,0.0,37.0,4.37,66.0,13.0,0.0,77.0,0,7.0,10.0,0,3.0,76.2,3.0,0,,,40.0,0,0,56.0,0,0,0.0,0.0,32.0,6.0,0,0,0.14,0,0.0,0
0,0,0,0,0.0,0,0.0,3.0,4.5,6.0,6.0,0.0,8.0,0,0.0,1.0,0,0.0,6.0,0.0,0,,,3.0,0,0,3.0,0,0,0.0,0.0,2.0,0.0,0,0,0.1,0,0.0,0
0,0,0,0,0.0,0,0.0,48.0,7.44,27.0,10.0,5.0,77.0,0,2.0,7.0,0,3.0,58.1,4.0,0,,,57.0,0,0,23.0,0,0,0.0,0.0,36.0,0.0,0,0,-0.43333333333333335,0,5.0,0
0,0,0,0,1.0,0,1.0,27.0,4.05,10.0,0.0,10.0,64.0,0,2.0,6.0,0,0.0,60.0,5.0,0,,,34.0,0,0,25.0,0,0,0.0,0.0,7.0,2.0,0,0,0.2,0,0.0,0
0,0,0,0,0.0,0,0.0,254.0,4.39,368.0,83.0,23.0,524.0,0,22.0,51.0,0,22.0,521.0,31.0,0,,,275.0,0,0,366.0,0,0,0.0,0.0,229.0,25.0,0,0,0.22000000000000003,0,22.0,0
0,0,0,0,0.0,0,2.0,19.0,6.29,4.0,1.0,3.0,35.0,0,0.0,1.0,0,,27.2,2.0,0,,,22.0,0,0,10.0,0,0,0.0,0.0,20.0,1.0,0,0,-0.6,0,1.0,0
0,0,0,0,0.0,0,0.0,36.0,6.21,19.0,3.0,8.0,52.0,0,1.0,4.0,0,,52.2,8.0,0,,,43.0,0,0,24.0,0,0,0.0,0.0,43.0,0.0,0,0,-0.65,0,1.0,0
0,0,0,0,0.0,0,1.0,7.0,5.63,3.0,1.0,2.0,7.0,0,0.0,0.0,0,,11.2,1.0,0,,,10.0,0,0,2.0,0,0,0.0,0.0,11.0,1.0,0,0,0.0,0,0.0,0
0,0,0,0,5.0,0,0.0,59.0,3.14,182.0,39.0,0.0,120.0,0,7.0,15.0,0,10.0,169.1,5.0,0,,,59.0,0,0,223.0,0,0,1.0,1.0,98.0,13.0,0,0,0.82,0,16.0,0
0,0,0,0,1.0,0,6.0,170.0,4.11,101.0,32.0,37.0,338.0,0,12.0,36.0,0,7.0,372.2,17.0,0,,,194.0,0,0,193.0,0,0,1.0,1.0,220.0,18.0,0,0,0.39999999999999997,0,21.0,0
0,0,0,0,5.0,0,3.0,132.0,4.77,68.0,11.0,33.0,257.0,0,6.0,25.0,0,9.0,249.1,11.0,0,,,138.0,0,0,140.0,0,0,2.0,2.0,121.0,14.0,0,0,-0.4,0,9.0,0
0,0,0,0,0.0,0,0.0,26.0,6.65,16.0,9.0,3.0,52.0,0,0.0,4.0,0,,35.2,1.0,0,,,30.0,0,0,11.0,0,0,0.0,0.0,12.0,0.0,0,0,-0.55,0,0.0,0
